UID,title,start,end,trackUID,gather,zoom,info_link,category,session_chairs
pldi_infer.0,"Infer Practitioners: Session 2",2021-06-21 13:30:00-04:00,2021-06-21 15:20:00-04:00,infer,,,/track_infer.html,colocated-session,"Ezgi Çiçek"
pldi_infer.1,"Infer Practitioners: Session 1",2021-06-21 09:00:00-04:00,2021-06-21 11:45:00-04:00,infer,,,/track_infer.html,colocated-session,"Dino Distefano"
pldi_soap.0,"SOAP: Session 2",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,soap,,,/track_soap.html,colocated-session,"Caterina Urban and Lisa Nguyen Quang Do"
pldi_ismm.0,"ISMM: Session 2",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,ismm,,,/track_ismm.html,colocated-session,"Doug Lea and Benjamin Zorn"
pldi_planqc.0,"PLanQC: Session 2",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,planqc,,,/track_planqc.html,colocated-session,"Jennifer Paykin and Ali Javadi-Abhari"
pldi_planqc.1,"PLanQC: Session 3",2021-06-22 18:00:00-04:00,2021-06-22 19:15:00-04:00,planqc,,,/track_planqc.html,colocated-session,"Robert Rand"
pldi_lctes.0,"LCTES: Keynote + Section 1 Measurement",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,lctes,,,/track_lctes.html,colocated-session,""
pldi_contracts.0,"Smart Contracts Security Analysis Tutorial",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,contracts,,,/track_contracts.html,colocated-session,""
pldi_lctes.1,"LCTES: Section 4. Analysis II + Section 5 Optimization II",2021-06-22 18:00:00-04:00,2021-06-22 20:45:00-04:00,lctes,,,/track_lctes.html,colocated-session,""
pldi_imop.0,"IMOP Tutorial",2021-06-21 09:00:00-04:00,2021-06-21 11:45:00-04:00,imop,,,/track_imop.html,colocated-session,""
pldi_soap.1,"SOAP: Session 1",2021-06-22 09:00:00-04:00,2021-06-22 11:35:00-04:00,soap,,,/track_soap.html,colocated-session,"Caterina Urban"
pldi_ismm.1,"ISMM: Keynote and Session 1",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,ismm,,,/track_ismm.html,colocated-session,"Jeremy Singer"
pldi_ismm.2,"ISMM: Session 4",2021-06-22 18:00:00-04:00,2021-06-22 19:45:00-04:00,ismm,,,/track_ismm.html,colocated-session,"Timothy M. Jones"
pldi_soap.2,"SOAP: Session 3",2021-06-22 18:00:00-04:00,2021-06-22 21:00:00-04:00,soap,,,/track_soap.html,colocated-session,"Lisa Nguyen Quang Do"
pldi_persist.0,"Memory Persistency Tutorial",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,persist,,,/track_persist.html,colocated-session,""
pldi_lctes.2,"LCTES: Section 2 Optimization I + Section 3 Analysis I",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,lctes,,,/track_lctes.html,colocated-session,""
pldi_planqc.2,"PLanQC: Session 1",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,planqc,,,/track_planqc.html,colocated-session,"Matthew Amy and Ross Duncan"
pldi_array.0,"ARRAY: Session 2 (keynote) and 3 (applications)",2021-06-21 13:30:00-04:00,2021-06-21 16:15:00-04:00,array,,,/track_array.html,colocated-session,"Aggelos Biboudis and Sandra Catalán"
pldi_array.1,"ARRAY: Session 4 (short talks)",2021-06-21 18:00:00-04:00,2021-06-21 19:15:00-04:00,array,,,/track_array.html,colocated-session,"Jonathan Ragan-Kelley"
pldi_array.2,"ARRAY: Session 1 (principles)",2021-06-21 10:30:00-04:00,2021-06-21 11:45:00-04:00,array,,,/track_array.html,colocated-session,"Artjoms Šinkarovs"
pldi_maps.0,"MAPS: Keynote",2021-06-21 10:45:00-04:00,2021-06-21 12:00:00-04:00,maps,,,/track_maps.html,colocated-session,""
pldi_maps.1,"MAPS: Session C",2021-06-21 16:45:00-04:00,2021-06-21 19:15:00-04:00,maps,,,/track_maps.html,colocated-session,""
pldi_maps.2,"MAPS: Session D",2021-06-21 19:45:00-04:00,2021-06-21 21:00:00-04:00,maps,,,/track_maps.html,colocated-session,""
pldi_maps.3,"MAPS: Session A",2021-06-21 13:30:00-04:00,2021-06-21 14:30:00-04:00,maps,,,/track_maps.html,colocated-session,""
pldi_maps.4,"MAPS: Session B",2021-06-21 15:15:00-04:00,2021-06-21 16:15:00-04:00,maps,,,/track_maps.html,colocated-session,""
pldi_plmw.0,"PLMW: Session 4",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_plmw.1,"PLMW: Session 2",2021-06-21 13:30:00-04:00,2021-06-21 16:15:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_plmw.2,"PLMW: Session 1",2021-06-21 09:00:00-04:00,2021-06-21 11:45:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_plmw.3,"PLMW: Session 5",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_plmw.4,"PLMW: Session 6",2021-06-22 18:00:00-04:00,2021-06-22 21:00:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_plmw.5,"PLMW: Session 3",2021-06-21 18:00:00-04:00,2021-06-21 21:00:00-04:00,plmw,,,/track_plmw.html,colocated-session,""
pldi_hopl.0,"HOPL IV: Monday Evening",2021-06-21 18:15:00-04:00,2021-06-21 21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Steve Blackburn and Andrew Black"
pldi_hopl.1,"HOPL IV: Sunday Late Afternoon",2021-06-20 16:45:00-04:00,2021-06-20 17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Crista Lopes"
pldi_hopl.2,"HOPL IV: Tuesday Morning",2021-06-22 09:00:00-04:00,2021-06-22 11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Guy L. Steele Jr. and Keshav Pingali"
pldi_hopl.3,"HOPL IV: Tuesday Early Afternoon",2021-06-22 13:30:00-04:00,2021-06-22 16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Kim Bruce and Brent Hailpern"
pldi_hopl.4,"HOPL IV: Sunday Morning",2021-06-20 09:00:00-04:00,2021-06-20 11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Guy L. Steele Jr."
pldi_hopl.5,"HOPL IV: Monday Late Afternoon",2021-06-21 16:45:00-04:00,2021-06-21 17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Guy L. Steele Jr."
pldi_hopl.6,"HOPL IV: Tuesday Evening",2021-06-22 18:15:00-04:00,2021-06-22 21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Allen Wirfs-Brock and Matthew Flatt"
pldi_hopl.7,"HOPL IV: Sunday Early Afternoon",2021-06-20 13:30:00-04:00,2021-06-20 16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Jens Palsberg and Crista Lopes"
pldi_hopl.8,"HOPL IV: Monday Morning",2021-06-21 09:00:00-04:00,2021-06-21 11:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Tomas Petricek and Vijay Saraswat"
pldi_hopl.9,"HOPL IV: Monday Early Afternoon",2021-06-21 13:30:00-04:00,2021-06-21 16:15:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Yannis Smaragdakis and Roberto Ierusalimschy"
pldi_hopl.10,"HOPL IV: Sunday Evening",2021-06-20 18:15:00-04:00,2021-06-20 21:00:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Shigeru Chiba and Sukyoung Ryu"
pldi_hopl.11,"HOPL IV: Tuesday Late Afternoon",2021-06-22 16:45:00-04:00,2021-06-22 17:45:00-04:00,hopl,,,/track_hopl.html,colocated-session,"Philip Wadler"
